GATE: ABORT conf= 15 E=    0 C=  1147 ZCR=  9 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_latN_START,0
SCHED: wcet=1524us avg=1481us duty=0.74% irq_lat_avg=2ms irq_lat_max=20ms
DEADLINE: misses=27/15300  miss_rate=0.17%
379777,FRAME_START,0
379785,GUARDIAN_START,0
379787,GUARDIAN_END,1481
379787,FRAME_START,0
379788,GUARDIAN_START,0
379789,GUARDIAN_END,1481
379789,FRAME_START,0
379790,GUARDIAN_START,0
379792,GUARDIAN_END,1481
379792,FRAME_START,0
379793,GUARDIAN_START,0
379794,GUARDIAN_END,1481
379794,FRAME_START,0
379795,GUARDIAN_START,0
379797,GUARDIAN_END,1481
379797,FRAME_START,0
379801,GUARDIAN_START,0
379803,GUARDIAN_END,1482
379803,FRAME_START,0
379821,GUARDIAN_START,0
379823,GUARDIAN_END,1481
379823,FRAME_START,0
379841,GUARDIAN_START,0
379843,GUARDIAN_END,1481
379843,TINYML_START,0
379943,TINYML_END,0
379943,FRAME_START,0
379944,GUARDIAN_START,0
379945,GUARDIAN_END,1482
379945,FRAME_START,0
379946,GUARDIAN_START,0
379948,GUARDIAN_END,1482
379948,FRAME_START,0
379949,GUARDIAN_START,0
379950,GUARDIAN_END,1481
379950,FRAME_START,0
379951,GUARDIAN_START,0
379952,GUARDIAN_END,1482
379952,FRAME_START,0
379961,GUARDIAN_START,0
379963,GUARDIAN_END,1483
379963,FRAME_START,0
379981,GUARDIAN_START,0
379983,GUARDIAN_END,1482
379983,FRAME_START,0
380001,GUARDIAN_START,0
380003,GUARDIAN_END,1482
380003,FRAME_START,0
380021,GUARDIAN_START,0
380023,GUARDIAN_END,1482
380023,FRAME_START,0
380041,GUARDIAN_START,0
380043,GUARDIAN_END,1482
380043,FRAME_START,0
380061,GUARDIAN_START,0
380063,GUARDIAN_END,1481
380063,FRAME_START,0
380081,GUARDIAN_START,0
380083,GUARDIAN_END,1481
380083,FRAME_START,0
380101,GUARDIAN_START,0
380103,GUARDIAN_END,1481
380103,FRAME_START,0
380121,GUARDIAN_START,0
380123,GUARDIAN_END,1481
380123,FRAME_START,0
380141,GUARDIAN_START,0
380143,GUARDIAN_END,1482
380143,FRAME_START,0
380161,GUARDIAN_START,0
380163,GUARDIAN_END,1481
380163,FRAME_START,0
380181,GUARDIAN_START,0
